thumb,index,middle,ring,pinkie,accx1,accy1,accz1,gx1,gy1,gz1,accx2,accy2,accz2,gx2,gy2,gz2,anillo,label
377.0,235.0,277.0,283.0,249.0,16636.0,-52.0,3656.0,-352.0,-2.0,-73.0,-13392.0,1768.0,7680.0,-147.0,66.0,-98.0,1.0,A
377.0,235.0,276.0,283.0,249.0,16592.0,-208.0,3752.0,-241.0,-1.0,-1.0,-13308.0,1632.0,7664.0,-193.0,69.0,-66.0,1.0,A
377.0,235.0,277.0,283.0,249.0,16708.0,-292.0,3864.0,-382.0,-210.0,-40.0,-13128.0,1684.0,7660.0,-139.0,126.0,-144.0,1.0,A
377.0,236.0,277.0,283.0,249.0,16416.0,-348.0,3628.0,-442.0,86.0,11.0,-13324.0,1672.0,7616.0,-33.0,143.0,-75.0,1.0,A
377.0,236.0,277.0,283.0,250.0,16516.0,-252.0,3972.0,-290.0,1.0,86.0,-13204.0,1760.0,7704.0,-60.0,99.0,12.0,1.0,A
377.0,236.0,277.0,283.0,249.0,16624.0,-224.0,3380.0,-265.0,230.0,5.0,-13384.0,2064.0,7708.0,-139.0,100.0,-61.0,1.0,A
377.0,236.0,277.0,283.0,250.0,16472.0,-276.0,3916.0,-293.0,-36.0,-52.0,-13452.0,1796.0,7680.0,-157.0,200.0,21.0,1.0,A
377.0,236.0,277.0,283.0,250.0,16556.0,-196.0,3748.0,-404.0,69.0,69.0,-13496.0,1808.0,7492.0,-66.0,194.0,-158.0,1.0,A
377.0,236.0,277.0,284.0,250.0,16452.0,-208.0,3700.0,-444.0,211.0,30.0,-13396.0,1980.0,7824.0,-154.0,134.0,119.0,1.0,A
377.0,236.0,277.0,283.0,250.0,16616.0,-92.0,3940.0,-159.0,66.0,-27.0,-13376.0,1980.0,7740.0,-210.0,235.0,195.0,1.0,A
377.0,236.0,278.0,284.0,250.0,16496.0,-64.0,3652.0,-157.0,180.0,-68.0,-13300.0,2092.0,7672.0,-219.0,108.0,81.0,1.0,A
